黑龙江省北大荒建三江知青基金会,,47.25651,132.63704,黑龙江省佳木斯市富锦市胜利大街,230882,中国,黑龙江省,佳木斯市,富锦市,胜利大街
中国扶贫基金会爱心包裹捐赠站(Z464),,45.62713,132.70466,黑龙江省鸡西市虎林市中心大街,230381,中国,黑龙江省,鸡西市,虎林市,中心大街
黑龙江省家缘扶贫救助基金会,西地明街61号,44.59472,129.57263,黑龙江省牡丹江市爱民区西地明街61号,231004,中国,黑龙江省,牡丹江市,爱民区,西地明街
贯商慈善基金会,,44.5736,129.60304,黑龙江省牡丹江市西安区西长安街,231005,中国,黑龙江省,牡丹江市,西安区,西长安街
延吉市人民教育基金会,,42.91033,129.50719,吉林省延边朝鲜族自治州延吉市民安胡同,222401,中国,吉林省,延边朝鲜族自治州,延吉市,民安胡同
教育基金会,公园路977号,42.90817,129.4923,吉林省延边朝鲜族自治州延吉市公园路977号,222401,中国,吉林省,延边朝鲜族自治州,延吉市,公园路
黑龙江省中昌植被恢复基金会,,50.24674,127.52189,黑龙江省黑河市爱辉区王肃街,231102,中国,黑龙江省,黑河市,爱辉区,王肃街
哈尔滨市残疾人福利基金会,北新街133号,45.7915,126.65223,黑龙江省哈尔滨市道外区北新街133号,230104,中国,黑龙江省,哈尔滨市,道外区,北新街
黑龙江省残疾人福利基金会,黄河路128号,45.75407,126.68589,黑龙江省哈尔滨市南岗区黄河路128号,230103,中国,黑龙江省,哈尔滨市,南岗区,黄河路
哈尔滨市老年基金会,嵩山路58号,45.74888,126.69009,黑龙江省哈尔滨市南岗区嵩山路58号,230103,中国,黑龙江省,哈尔滨市,南岗区,嵩山路
中国初级卫生保健基金会,清真寺街54号,45.77,126.64445,黑龙江省哈尔滨市道外区景阳街清真寺街54号,230104,中国,黑龙江省,哈尔滨市,道外区,景阳街
黑龙江省体育发展基金会,黄河路116号,45.75341,126.68513,黑龙江省哈尔滨市南岗区黄河路116号,230103,中国,黑龙江省,哈尔滨市,南岗区,黄河路
黑龙江省青少年发展基金会,清明七道街35号,45.73988,126.61974,黑龙江省哈尔滨市南岗区清明六道街清明七道街35号,230103,中国,黑龙江省,哈尔滨市,南岗区,清明六道街
